homeTeamAbbrev,teamName,observedRecord,observedWinPercent,win,pointsForAvg,pointsAgainstAvg,movAvg,observedDominance,scheduleStrength,scheduleStrengthRank,winRank,movRank,dominanceRank,ovr,ovrRank
TA&M,Texas A&M Aggies,10.0 - 7.0,0.5882352941176471,0.8444444444444444,76.299201839206,67.17651543083466,9.12268640837135,0.1217415372419185,0.09615720273913264,21.0,56.0,69.0,84.0,2.996923750052696,74.0
BRAD,Bradley Braves,14.0 - 5.0,0.7368421052631579,0.7388888888888889,75.49377519173359,65.15670808335774,10.337067108375848,0.1581354032533475,0.028753919613057774,91.0,95.0,58.0,67.0,2.987046396726178,75.0
SF,San Francisco Dons,15.0 - 5.0,0.75,0.7861111111111111,74.41428198236744,61.943147863137355,12.471134119230086,0.0925125097698006,-0.046254704778566094,253.0,79.0,41.0,102.0,2.966418467055234,76.0
UNT,North Texas Mean Green,11.0 - 6.0,0.6470588235294118,0.775,67.12331228841853,57.60351181371355,9.51980047470498,0.1477877233014591,0.04098366853393067,71.0,84.5,66.0,71.0,2.9611219819231165,77.0
UCF,UCF Knights,11.0 - 6.0,0.6470588235294118,0.8194444444444444,73.94436546588761,62.1790598858677,11.765305580019913,0.0769504845711421,0.045007386200978994,66.0,64.5,49.0,116.0,2.9101386395251985,78.0
VCU,VCU Rams,11.0 - 6.0,0.6470588235294118,0.8833333333333333,76.15409602405384,65.68851086582578,10.465585158228066,0.0458232215613965,0.026755354971595775,96.0,43.0,57.0,133.0,2.7997696773970824,79.0
NCSU,NC State Wolfpack,12.0 - 5.0,0.7058823529411765,0.7972222222222223,76.97216374211331,68.97797434761388,7.994189394499429,0.1292088419847685,0.027029960861317613,95.0,76.5,81.0,80.0,2.7610751172896797,80.0
WSU,Washington State Cougars,13.0 - 6.0,0.6842105263157895,0.7555555555555555,75.65786167674027,65.74694316248258,9.910918514257688,0.1083405052245695,0.0174871691795757,106.0,89.5,61.0,88.0,2.689202734398356,81.0
RUTG,Rutgers Scarlet Knights,10.0 - 8.0,0.5555555555555556,0.7833333333333333,71.80512981354345,62.23723663181088,9.567893181732565,0.0944102167673894,0.0998013536513077,17.0,81.0,64.0,99.0,2.6621841313216654,82.0
LT,Louisiana Tech Bulldogs,13.0 - 6.0,0.6842105263157895,0.8222222222222222,71.28356036185556,64.37956136646264,6.903998995392925,0.1105887318598555,0.02071715957264642,101.0,62.0,91.0,87.0,2.6163387405516882,83.0
RICH,Richmond Spiders,13.0 - 5.0,0.7222222222222222,0.7833333333333333,70.93906845393529,64.57736679674753,6.361701657187766,0.125933759552896,-0.014502282144427451,166.0,81.0,98.0,82.0,2.520304734318195,84.0
UGA,Georgia Bulldogs,13.0 - 5.0,0.7222222222222222,0.7416666666666667,77.59315819472069,71.83728483731285,5.755873357407836,0.1577727361311747,0.06975645846944913,39.0,93.5,101.0,68.0,2.5108056424669147,85.0
UML,UMass Lowell River Hawks,14.0 - 4.0,0.7777777777777778,0.7166666666666667,75.34030905195412,70.132275768623,5.208033283331119,0.179649239261711,-0.04095200221366836,237.0,103.5,105.0,53.0,2.502938668020012,86.0
