,teamName,teamConference,homeDom,homeCount,homeConferenceCount,awayDom,awayCount,awayConferenceCount,conferenceGames,homeCookin,ovrDom,homeDomAdj,homeDomAdjCnt,awayDomAdj,awayDomAdjCnt,ovrDomAdj,conferenceRating,ovrRating,teamTopExpPerf,teamRegRsq,finalRating,rank
tid_195,Ohio Bobcats,Mid-American Conference,1.128725817419567,5,3,0.9654899939229373,4,2,5,1.05,1.097886027901005,0.936447236715052,4,0.8699824498015081,4,0.9333681489603772,0.6883346910323047,0.9373149265949565,0.8462644508943635,0.1270135360682585,1.0056003292695392,57.0
tid_9,Arizona State Sun Devils,Pac-12 Conference,0.859819077578731,6,3,0.6776072584865641,3,3,6,1.05,0.8280392967235181,0.9881506410725305,5,0.9892285259945668,3,1.0222492115489226,1.3892269016339898,1.0037623952937218,0.7626821004151887,0.12946222607124916,1.0050961796569329,58.0
tid_2,Auburn Tigers,Southeastern Conference,1.111171831100549,5,3,0.8031867363538614,4,3,6,1.05,1.0028834418586006,1.0661644138084794,4,0.9649358286393722,4,1.048859658978543,1.188165637324941,1.0559135390688612,0.7041605483773408,0.6688866447745777,1.0035461259387304,59.0
tid_135,Minnesota Golden Gophers,Big Ten Conference,0.9711732063071472,6,4,0.8891965584641552,3,2,6,1.0450798144775715,0.9832197624525599,1.0021612467621048,6,1.019560074445191,3,1.042282432245793,1.1030920902521912,1.0328047330864656,0.7146191416364038,0.7400155597654602,0.9961676578165723,60.0
tid_2005,Air Force Falcons,Mountain West Conference,1.0872063397539615,5,3,1.2594160035190554,4,2,5,1.0,1.2100774874435036,0.8907273931335701,4,0.9608593689048393,4,0.9566617134077567,0.7328715294396162,0.9905161966631973,0.7580808064983309,0.30028150500356754,0.9947061363969503,61.0
tid_57,Florida Gators,Southeastern Conference,1.1149258553649033,6,4,0.6307284394915551,3,2,6,1.05,0.9613872154486061,1.034419895488522,5,0.9098952852324079,3,1.0194440503571887,1.188165637324941,1.0264410033333162,0.7164069209176875,0.4533144924816571,0.9934727343070783,62.0
tid_235,Memphis Tigers,American Athletic Conference,1.1139711163085269,5,3,1.1214342495906184,4,2,5,1.0,1.1648848086504378,0.9305477250526529,4,0.9907383734119503,4,0.9928985868985363,0.7176646781921532,0.992903522240986,0.7514061798547467,0.6565991901098843,0.9926263134170535,63.0
tid_2247,Georgia State Panthers,Sun Belt Conference,0.9936265745299289,5,3,1.0432541304111314,4,3,6,1.0,1.0586464101303226,0.9806552026512306,4,0.9897984908297182,4,1.0187969509063675,1.056700259437227,1.0391050277214595,0.7009375538800855,0.5450730522530189,0.9921082178917403,64.0
tid_166,New Mexico State Aggies,Conference USA,1.1625429793220787,5,3,1.0575033427330816,5,3,6,1.0484884107974348,1.1560206625138922,0.9050715854508006,4,0.9008717887028646,5,0.9335053562080761,0.8134735007569761,0.9805675646749094,0.755796429743679,0.3503537550018346,0.9875068034460426,65.0
tid_248,Houston Cougars,Big 12 Conference,0.9495982098114091,5,3,0.6643525797575408,4,3,6,1.05,0.8447115428933671,1.0189119169954632,5,0.8859681043858662,4,0.9901629959339734,1.2998674466859192,0.9835112893211889,0.745030485668537,0.24890314848207315,0.9836234524495587,66.0
tid_38,Colorado Buffaloes,Pac-12 Conference,0.8097692615109532,5,3,0.7746064885783097,4,3,6,1.022445289102051,0.827775449953354,0.9763100233178845,5,1.015974276608294,4,1.0276150905996764,1.3892269016339898,1.0062864634127184,0.712958100540122,0.41662900319224566,0.9798288650945368,67.0
tid_290,Georgia Southern Eagles,Sun Belt Conference,1.3531582183572564,5,3,0.7165704173316028,4,2,5,1.05,1.0635606420306605,1.062299722482204,4,0.8900733140895222,4,1.0055241338890155,1.056700259437227,1.0339090100833361,0.683442313782304,0.5141602411839244,0.9791783113428811,68.0
tid_6,South Alabama Jaguars,Sun Belt Conference,0.9880316314505593,4,2,0.8344560783362127,5,3,5,1.05,0.9378457487724896,0.9111264425602477,3,0.9771573044509708,5,0.984296340229282,1.056700259437227,0.980931598825033,0.7391151937812623,0.2201682060818271,0.9789482507872908,69.0
tid_24,Stanford Cardinal,Pac-12 Conference,0.6747001156131469,4,4,0.8363944283867634,4,3,7,1.0,0.7832153152243149,1.0252180529498116,4,0.9578324202524071,4,1.0247288499490135,1.3892269016339898,0.986507562122063,0.7189954410872101,0.538422124533866,0.9714989907334399,70.0
tid_252,BYU Cougars,Big 12 Conference,1.3540180866904683,4,2,0.5801699681206101,5,4,6,1.05,0.8815800999345005,1.097281996701951,3,0.9257080680094555,5,1.02028546604107,1.2998674466859192,1.0126778322305283,0.681153953846036,0.5143497874941776,0.9657674024731873,71.0
tid_158,Nebraska Cornhuskers,Big Ten Conference,1.070413846571912,5,3,0.9092701776995312,4,3,6,1.05,1.0379564800593717,0.9783505498836236,5,0.9708277909236801,4,1.0082324235823814,1.1030920902521912,1.0343051544331954,0.6587300092264798,0.5775856869173936,0.9650811670742251,72.0
tid_324,Coastal Carolina Chanticleers,Sun Belt Conference,1.1206935519370036,4,2,0.887601067582097,5,4,6,1.05,1.0264705628166595,0.9942262269572109,3,0.9958281654951965,5,1.0291490646651502,1.056700259437227,1.033681220860004,0.6433493241477795,0.3993767079625215,0.9556576998937171,73.0
tid_356,Illinois Fighting Illini,Big Ten Conference,0.875801674233024,5,3,0.7779083793430053,4,3,6,1.05,0.8662578333993113,0.9686716849659684,5,0.9446863633916283,4,0.9905881819715389,1.1030920902521912,0.9652451032242668,0.709585398913108,0.2983693640461011,0.9538412065545606,74.0
tid_309,Louisiana Ragin' Cajuns,Sun Belt Conference,1.08749915535702,4,2,0.9039382855345315,5,3,5,1.05,1.023159884566475,0.973296248607742,3,0.9359048254469338,5,0.9821272748812621,1.056700259437227,1.0087039132093818,0.6633685151789239,0.42093384150855195,0.9533487760200604,75.0
tid_259,Virginia Tech Hokies,Atlantic Coast Conference,1.2083825986546053,5,3,0.5474304492668975,4,2,5,1.05,0.8861170945732386,1.043854730987315,5,0.8732047502931578,4,0.9971053321807416,1.1740143404738164,0.9859460251020233,0.6856218118369364,0.3115183276562313,0.952878180398551,76.0
tid_2567,SMU Mustangs,American Athletic Conference,1.4316414802913158,4,2,0.9789719805810303,5,3,5,1.05,1.2085155922291637,0.9598254551876761,3,0.9474468841865338,5,0.9845209639705101,0.7176646781921532,1.0008988293007977,0.663318148476089,0.8805322687862929,0.9488870258490602,77.0
tid_221,Pittsburgh Panthers,Atlantic Coast Conference,0.8131582249635304,5,3,0.6664087049304924,4,2,5,1.05,0.7760326337805454,0.9933680964922534,4,0.8935679800362432,4,0.9742602360915142,1.1740143404738164,0.9324303470951315,0.7331059993759517,0.0919150250778906,0.9465165174221531,78.0
tid_2459,Northern Illinois Huskies,Mid-American Conference,0.9511799002120053,4,2,0.8229750774813317,5,3,5,1.05,0.9150646476505953,0.8936859000543741,3,0.8834858817787726,5,0.9175403518940008,0.6883346910323047,0.874587241773986,0.7999916342779678,0.07494010351543104,0.9432085060752927,79.0
tid_2579,South Carolina Gamecocks,Southeastern Conference,1.0256489894446283,5,2,0.6135149825800991,4,4,6,1.05,0.8510022542828991,1.0133836087604784,4,0.944356548375261,4,1.0116051002731423,1.188165637324941,0.9817522889728483,0.6654259424743456,0.7039494109653823,0.9391450909463034,80.0
tid_154,Wake Forest Demon Deacons,Atlantic Coast Conference,0.8923093563072316,5,3,0.8130589889074692,4,3,6,1.0476029087481882,0.8926537665783335,0.9500787024561852,4,0.9700767660095151,4,0.9927477637146638,1.1740143404738164,0.9862024008888387,0.6600484509154403,0.5389641564834263,0.9386455112021389,81.0
tid_127,Michigan State Spartans,Big Ten Conference,0.797564617910335,6,3,0.9046321297726193,3,3,6,1.0,0.8672043926592011,0.9454550260754855,5,1.016619143092859,3,1.004652750455944,1.1030920902521912,0.9724272551159172,0.67080895801808,0.5928523716643574,0.9367969388204792,82.0
tid_68,Boise State Broncos,Mountain West Conference,1.1149834914827135,4,2,0.8414038902896215,5,3,5,1.05,0.9941782317749781,0.9912418384356391,3,0.9200791499153116,5,0.9783948925971456,0.7328715294396162,0.9381879040012207,0.7005518208145505,0.5562892173766184,0.9329140890607821,83.0
tid_98,Western Kentucky Hilltoppers,Conference USA,1.1130726068087322,4,2,0.9439417179685436,5,3,5,1.05,1.0589561523629458,0.9405332040980043,3,0.9531713919875731,5,0.9807385547237404,0.8134735007569761,0.9761124852852274,0.6569976684545153,0.8463959355444518,0.9311445375608514,84.0
tid_84,Indiana Hoosiers,Big Ten Conference,0.8846138669788884,6,3,0.6003313844474623,3,3,6,1.05,0.8105000725931133,0.9565360889634295,5,0.9296413303798203,3,0.9786168931107535,1.1030920902521912,0.9383525052000182,0.6864965520813273,0.4581582136133474,0.9254790725399256,85.0
tid_349,Army Black Knights,FBS Independents,0.7993417921993071,4,0,0.9392587761216926,5,0,0,1.0,0.9115299087507498,0.8296013609117301,3,0.9671991765470593,5,0.9442338582236645,0.8365889247708663,0.9153533879697952,0.708395911194998,0.15865016401541296,0.9233265891670537,86.0
tid_239,Baylor Bears,Big 12 Conference,0.7141814596602072,7,4,0.8919196525566441,2,2,6,1.0,0.7823066880525972,0.933760069053357,6,1.010576116539185,2,0.9848606951881668,1.2998674466859192,0.95609917675813,0.662099516032179,0.25190386614538174,0.9224922421701915,87.0
tid_2433,UL Monroe Warhawks,Sun Belt Conference,0.8593417858382472,5,3,0.6481206036220856,4,3,6,1.05,0.7903823055955285,0.8958615411733706,4,0.8851493966665476,4,0.9208413435498867,1.056700259437227,0.8961969456679794,0.7293445408901817,0.03451046674513197,0.9223735023466187,88.0
tid_2439,UNLV Rebels,Mountain West Conference,1.2366027975547513,4,2,1.0105534950386588,5,3,5,1.05,1.152509127236998,0.9245684238747379,3,0.9389295110893324,5,0.9653367486750302,0.7328715294396162,0.978961325566894,0.6363743427368029,0.8236810635771722,0.920949960328408,89.0
tid_344,Mississippi State Bulldogs,Southeastern Conference,0.8195643188380046,6,3,0.7592908824011473,3,3,6,1.0389327311292282,0.8329999395647495,0.9521473106436824,5,0.9349517490930528,3,0.9778947500885887,1.188165637324941,0.9584009329007448,0.656427829668973,0.3214290846182655,0.9206504685422033,90.0
